timestamp,eda_level_real
2024-07-13T08:13:00.000+07:00,8.59
2024-07-13T08:14:00.000+07:00,8.24
2024-07-13T08:15:00.000+07:00,7.92
2024-07-13T08:16:00.000+07:00,7.78
2024-07-13T08:17:00.000+07:00,7.72
2024-07-13T08:18:00.000+07:00,7.67
2024-07-13T08:19:00.000+07:00,7.6
2024-07-13T08:20:00.000+07:00,7.48
2024-07-13T08:21:00.000+07:00,7.38
2024-07-13T08:22:00.000+07:00,7.35
2024-07-13T08:23:00.000+07:00,7.38
2024-07-13T08:24:00.000+07:00,7.44
2024-07-13T08:25:00.000+07:00,7.56
2024-07-13T08:26:00.000+07:00,7.77
2024-07-13T08:27:00.000+07:00,8.04
2024-07-13T08:28:00.000+07:00,8.28
2024-07-13T08:29:00.000+07:00,8.71
2024-07-13T08:30:00.000+07:00,9.65
2024-07-13T08:31:00.000+07:00,10.42
2024-07-13T08:32:00.000+07:00,10.87
2024-07-13T08:33:00.000+07:00,11.31
2024-07-13T08:34:00.000+07:00,11.86
2024-07-13T08:35:00.000+07:00,12.31
2024-07-13T08:36:00.000+07:00,12.46
2024-07-13T08:37:00.000+07:00,12.55
2024-07-13T08:38:00.000+07:00,12.59
2024-07-13T08:39:00.000+07:00,12.47
2024-07-13T08:40:00.000+07:00,12.43
2024-07-13T08:41:00.000+07:00,12.46
2024-07-13T08:42:00.000+07:00,12.76
2024-07-13T08:43:00.000+07:00,13.69
2024-07-13T08:44:00.000+07:00,14.51
2024-07-13T08:45:00.000+07:00,14.35
2024-07-13T08:46:00.000+07:00,13.89
2024-07-13T08:47:00.000+07:00,13.22
2024-07-13T08:48:00.000+07:00,12.49
2024-07-13T08:49:00.000+07:00,12.02
2024-07-13T08:50:00.000+07:00,11.73
2024-07-13T08:51:00.000+07:00,11.54
2024-07-13T08:52:00.000+07:00,11.39
2024-07-13T08:53:00.000+07:00,11.22
2024-07-13T08:54:00.000+07:00,11.05
2024-07-13T08:55:00.000+07:00,10.9
2024-07-13T08:56:00.000+07:00,10.75
2024-07-13T08:57:00.000+07:00,10.55
2024-07-13T08:58:00.000+07:00,10.21
2024-07-13T08:59:00.000+07:00,9.88
2024-07-13T09:00:00.000+07:00,9.7
2024-07-13T09:01:00.000+07:00,9.58
2024-07-13T09:02:00.000+07:00,9.45
2024-07-13T09:03:00.000+07:00,9.32
2024-07-13T09:04:00.000+07:00,9.2
2024-07-13T09:05:00.000+07:00,9.06
2024-07-13T09:06:00.000+07:00,8.83
2024-07-13T09:07:00.000+07:00,8.66
2024-07-13T09:08:00.000+07:00,8.6
2024-07-13T09:09:00.000+07:00,8.55
2024-07-13T09:10:00.000+07:00,8.54
2024-07-13T09:11:00.000+07:00,8.54
2024-07-13T09:12:00.000+07:00,8.44
2024-07-13T09:13:00.000+07:00,8.32
2024-07-13T09:14:00.000+07:00,8.24
2024-07-13T09:15:00.000+07:00,8.18
2024-07-13T09:16:00.000+07:00,8.1
2024-07-13T09:17:00.000+07:00,7.98
2024-07-13T09:18:00.000+07:00,7.87
2024-07-13T09:19:00.000+07:00,7.83
2024-07-13T09:20:00.000+07:00,7.8
2024-07-13T09:21:00.000+07:00,7.77
