body_response_start,body_response_end,logged_mood
2024-04-30T04:58:00.000+07:00,2024-04-30T05:03:00.000+07:00,no mood logged
2024-04-30T08:16:00.000+07:00,2024-04-30T08:21:00.000+07:00,no mood logged
2024-05-02T00:14:00.000+07:00,2024-05-02T00:26:00.000+07:00,no mood logged
2024-05-03T16:44:00.000+07:00,2024-05-03T16:48:00.000+07:00,no mood logged
2024-05-03T21:01:00.000+07:00,2024-05-03T21:05:00.000+07:00,no mood logged
2024-05-03T22:12:00.000+07:00,2024-05-03T22:38:00.000+07:00,no mood logged
2024-05-05T01:24:00.000+07:00,2024-05-05T01:27:00.000+07:00,no mood logged
2024-05-08T03:09:01.000+07:00,2024-05-08T03:15:00.000+07:00,no mood logged
2024-05-08T06:17:00.000+07:00,2024-05-08T06:21:00.000+07:00,no mood logged
2024-05-08T06:30:00.000+07:00,2024-05-08T06:37:00.000+07:00,no mood logged
2024-05-08T07:40:00.000+07:00,2024-05-08T07:44:00.000+07:00,no mood logged
2024-05-08T07:56:00.000+07:00,2024-05-08T07:59:01.000+07:00,no mood logged
2024-05-11T00:23:00.000+07:00,2024-05-11T00:26:00.000+07:00,no mood logged
2024-05-11T00:56:00.000+07:00,2024-05-11T00:59:01.000+07:00,no mood logged
2024-05-11T02:41:00.000+07:00,2024-05-11T02:54:00.000+07:00,no mood logged
2024-05-11T21:31:01.000+07:00,2024-05-11T21:37:00.000+07:00,no mood logged
2024-05-11T22:10:00.000+07:00,2024-05-11T22:13:00.000+07:00,no mood logged
2024-05-18T22:56:00.000+07:00,2024-05-18T23:01:00.000+07:00,no mood logged
2024-05-18T23:09:00.000+07:00,2024-05-18T23:23:00.000+07:00,no mood logged
2024-05-20T04:39:00.000+07:00,2024-05-20T04:43:00.000+07:00,no mood logged
2024-05-20T06:30:00.000+07:00,2024-05-20T06:34:00.000+07:00,no mood logged
2024-05-20T23:34:00.000+07:00,2024-05-20T23:37:00.000+07:00,no mood logged
2024-05-21T20:04:00.000+07:00,2024-05-21T20:09:00.000+07:00,no mood logged
2024-05-21T22:21:00.000+07:00,2024-05-21T22:24:00.000+07:00,no mood logged
2024-05-22T03:05:00.000+07:00,2024-05-22T03:08:00.000+07:00,no mood logged
2024-05-22T04:18:00.000+07:00,2024-05-22T04:22:01.000+07:00,no mood logged
2024-05-22T04:56:00.000+07:00,2024-05-22T05:10:00.000+07:00,no mood logged
2024-05-24T02:27:00.000+07:00,2024-05-24T02:32:00.000+07:00,no mood logged
2024-05-24T04:54:00.000+07:00,2024-05-24T04:57:00.000+07:00,no mood logged
2024-05-24T05:27:00.000+07:00,2024-05-24T05:30:00.000+07:00,no mood logged
2024-05-24T23:17:00.000+07:00,2024-05-24T23:20:00.000+07:00,no mood logged
2024-05-25T00:46:00.000+07:00,2024-05-25T00:53:00.000+07:00,no mood logged
2024-05-25T01:21:00.000+07:00,2024-05-25T01:32:00.000+07:00,no mood logged
2024-05-30T00:01:00.000+07:00,2024-05-30T00:05:00.000+07:00,no mood logged
2024-05-30T04:16:00.000+07:00,2024-05-30T04:22:00.000+07:00,no mood logged
2024-05-30T10:36:00.000+07:00,2024-05-30T10:53:00.000+07:00,no mood logged
2024-06-02T06:11:00.000+07:00,2024-06-02T06:14:00.000+07:00,no mood logged
2024-06-02T10:17:00.000+07:00,2024-06-02T10:20:00.000+07:00,no mood logged
2024-06-02T14:21:00.000+07:00,2024-06-02T14:25:00.000+07:00,no mood logged
2024-06-03T03:34:00.000+07:00,2024-06-03T03:38:00.000+07:00,no mood logged
2024-06-03T07:28:00.000+07:00,2024-06-03T07:31:00.000+07:00,no mood logged
2024-06-03T08:44:00.000+07:00,2024-06-03T08:49:00.000+07:00,no mood logged
2024-06-03T18:49:00.000+07:00,2024-06-03T18:53:00.000+07:00,no mood logged
2024-06-03T19:01:00.000+07:00,2024-06-03T19:05:00.000+07:00,no mood logged
2024-06-04T01:38:00.000+07:00,2024-06-04T01:41:00.000+07:00,no mood logged
2024-06-04T03:22:00.000+07:00,2024-06-04T03:29:00.000+07:00,no mood logged
2024-06-04T05:47:00.000+07:00,2024-06-04T05:58:00.000+07:00,no mood logged
2024-06-04T06:33:00.000+07:00,2024-06-04T06:41:01.000+07:00,no mood logged
2024-06-04T08:16:00.000+07:00,2024-06-04T08:26:00.000+07:00,no mood logged
2024-06-05T02:47:00.000+07:00,2024-06-05T02:50:00.000+07:00,no mood logged
2024-06-05T02:57:00.000+07:00,2024-06-05T03:01:00.000+07:00,no mood logged
2024-06-05T08:58:00.000+07:00,2024-06-05T09:12:00.000+07:00,no mood logged
2024-06-07T08:35:01.000+07:00,2024-06-07T08:52:00.000+07:00,no mood logged
2024-06-07T20:07:00.000+07:00,2024-06-07T20:30:00.000+07:00,no mood logged
2024-06-07T20:36:00.000+07:00,2024-06-07T20:46:00.000+07:00,no mood logged
2024-06-08T02:37:00.000+07:00,2024-06-08T02:42:00.000+07:00,no mood logged
2024-06-08T04:50:00.000+07:00,2024-06-08T04:53:00.000+07:00,no mood logged
2024-06-15T05:56:00.000+07:00,2024-06-15T06:06:00.000+07:00,no mood logged
2024-06-15T10:04:00.000+07:00,2024-06-15T10:17:00.000+07:00,no mood logged
2024-07-02T00:29:00.000+07:00,2024-07-02T00:32:00.000+07:00,no mood logged
2024-08-10T01:00:00.000+07:00,2024-08-10T01:08:00.000+07:00,no mood logged
2024-08-10T02:56:00.000+07:00,2024-08-10T03:01:00.000+07:00,no mood logged
2024-08-10T07:06:00.000+07:00,2024-08-10T07:15:00.000+07:00,no mood logged
2024-08-10T12:37:00.000+07:00,2024-08-10T12:50:00.000+07:00,no mood logged
2024-08-10T14:22:00.000+07:00,2024-08-10T14:32:00.000+07:00,no mood logged
2024-09-11T06:14:00.000+07:00,2024-09-11T06:32:00.000+07:00,no mood logged
2024-09-11T22:05:00.000+07:00,2024-09-11T22:10:00.000+07:00,no mood logged
2024-09-12T07:03:00.000+07:00,2024-09-12T07:06:00.000+07:00,no mood logged
2024-09-13T00:24:00.000+07:00,2024-09-13T00:29:00.000+07:00,no mood logged
2024-09-13T04:44:00.000+07:00,2024-09-13T04:51:00.000+07:00,no mood logged
2024-09-13T05:06:00.000+07:00,2024-09-13T05:13:00.000+07:00,no mood logged
2024-09-13T08:09:00.000+07:00,2024-09-13T08:21:00.000+07:00,no mood logged
2024-09-13T09:24:00.000+07:00,2024-09-13T09:28:00.000+07:00,no mood logged
2024-09-14T08:21:00.000+07:00,2024-09-14T08:25:00.000+07:00,no mood logged
2024-09-14T09:43:00.000+07:00,2024-09-14T09:47:00.000+07:00,no mood logged
2024-09-14T12:01:00.000+07:00,2024-09-14T12:04:00.000+07:00,no mood logged
2024-09-14T16:23:00.000+07:00,2024-09-14T16:28:00.000+07:00,no mood logged
2024-09-15T02:17:00.000+07:00,2024-09-15T02:23:00.000+07:00,no mood logged
2024-09-15T08:17:00.000+07:00,2024-09-15T08:25:00.000+07:00,no mood logged
2024-09-15T09:13:00.000+07:00,2024-09-15T09:17:00.000+07:00,no mood logged
2024-09-15T19:22:00.000+07:00,2024-09-15T19:30:00.000+07:00,no mood logged
2024-09-15T21:36:00.000+07:00,2024-09-15T21:53:00.000+07:00,no mood logged
2024-09-16T02:16:00.000+07:00,2024-09-16T02:19:00.000+07:00,no mood logged
2024-09-16T09:36:00.000+07:00,2024-09-16T09:43:00.000+07:00,no mood logged
2024-09-16T17:59:00.000+07:00,2024-09-16T18:02:00.000+07:00,no mood logged
2024-09-16T20:43:00.000+07:00,2024-09-16T20:46:00.000+07:00,no mood logged
2024-09-17T02:30:00.000+07:00,2024-09-17T02:35:00.000+07:00,no mood logged
