timestamp,heart rate zone,total minutes
2023-06-20T08:02:00Z,cardio,2
2023-06-20T08:03:00Z,cardio,2
2023-06-20T08:04:00Z,cardio,2
2023-06-20T08:05:00Z,cardio,2
2023-06-20T08:06:00Z,cardio,2
2023-06-20T08:07:00Z,cardio,2
2023-06-20T08:08:00Z,cardio,2
2023-06-20T08:09:00Z,cardio,2
2023-06-20T08:10:00Z,cardio,2
2023-06-20T08:11:00Z,fat burn,1
2023-06-20T08:12:00Z,fat burn,1
2023-06-22T07:08:00Z,fat burn,1
2023-06-22T07:09:00Z,cardio,2
2023-06-22T07:10:00Z,cardio,2
2023-06-22T07:11:00Z,fat burn,1
2023-06-22T07:12:00Z,fat burn,1
2023-06-22T07:26:00Z,fat burn,1
2023-06-22T07:28:00Z,fat burn,1
2023-06-22T07:29:00Z,fat burn,1
2023-06-22T07:32:00Z,fat burn,1
2023-06-22T07:33:00Z,fat burn,1
2023-06-22T07:34:00Z,fat burn,1
2023-06-22T07:37:00Z,fat burn,1
2023-06-22T07:38:00Z,cardio,2
2023-06-22T07:39:00Z,fat burn,1
2023-06-22T07:40:00Z,fat burn,1
2023-06-22T07:41:00Z,fat burn,1
2023-06-22T07:42:00Z,cardio,2
2023-06-22T07:43:00Z,fat burn,1
2023-06-22T07:44:00Z,fat burn,1
2023-06-22T07:45:00Z,fat burn,1
2023-06-22T07:46:00Z,fat burn,1
2023-06-22T07:47:00Z,cardio,2
2023-06-22T07:48:00Z,cardio,2
2023-06-22T07:49:00Z,fat burn,1
2023-06-22T07:50:00Z,fat burn,1
2023-06-22T07:51:00Z,fat burn,1
2023-06-22T07:52:00Z,fat burn,1
2023-06-22T07:53:00Z,cardio,2
2023-06-22T07:54:00Z,fat burn,1
2023-06-22T07:55:00Z,fat burn,1
2023-06-22T07:56:00Z,cardio,2
2023-06-22T07:57:00Z,cardio,2
2023-06-22T07:58:00Z,cardio,2
2023-06-22T07:59:00Z,fat burn,1
2023-06-22T08:01:00Z,fat burn,1
2023-06-22T08:02:00Z,cardio,2
2023-06-22T08:03:00Z,cardio,2
2023-06-22T08:04:00Z,cardio,2
2023-06-22T08:05:00Z,cardio,2
2023-06-22T08:06:00Z,cardio,2
2023-06-22T08:07:00Z,cardio,2
2023-06-22T08:08:00Z,cardio,2
2023-06-22T08:09:00Z,cardio,2
2023-06-22T08:10:00Z,cardio,2
