timestamp,speed
2025-07-31T00:45:05Z,9.04
2025-07-31T00:45:06Z,8.91
2025-07-31T00:45:07Z,8.82
2025-07-31T00:45:08Z,8.70
2025-07-31T00:45:09Z,8.59
2025-07-31T00:45:10Z,8.48
2025-07-31T00:45:11Z,8.50
2025-07-31T00:45:12Z,8.51
2025-07-31T00:45:13Z,8.50
2025-07-31T00:45:14Z,8.54
2025-07-31T00:45:15Z,8.59
2025-07-31T00:45:16Z,8.58
2025-07-31T00:45:17Z,8.55
2025-07-31T00:45:18Z,8.55
2025-07-31T00:45:19Z,8.54
2025-07-31T00:45:20Z,8.45
2025-07-31T00:45:21Z,8.47
2025-07-31T00:45:22Z,8.52
2025-07-31T00:45:23Z,8.60
2025-07-31T00:45:24Z,8.68
2025-07-31T00:45:25Z,8.78
2025-07-31T00:45:26Z,8.81
2025-07-31T00:45:27Z,8.87
2025-07-31T00:45:28Z,8.86
2025-07-31T00:45:29Z,8.83
2025-07-31T00:45:30Z,8.82
2025-07-31T00:45:31Z,8.79
2025-07-31T00:45:32Z,8.77
2025-07-31T00:45:33Z,8.75
2025-07-31T00:45:34Z,8.75
2025-07-31T00:45:35Z,8.74
2025-07-31T00:45:36Z,8.75
2025-07-31T00:45:37Z,8.77
2025-07-31T00:45:38Z,8.78
2025-07-31T00:45:39Z,8.77
2025-07-31T00:45:40Z,8.80
2025-07-31T00:45:41Z,8.79
2025-07-31T00:45:42Z,8.78
2025-07-31T00:45:43Z,8.78
2025-07-31T00:45:44Z,8.76
2025-07-31T00:45:45Z,8.80
2025-07-31T00:45:46Z,8.79
2025-07-31T00:45:47Z,8.82
2025-07-31T00:45:48Z,8.81
2025-07-31T00:45:49Z,8.82
2025-07-31T00:45:50Z,8.81
2025-07-31T00:45:51Z,8.81
2025-07-31T00:45:52Z,8.83
2025-07-31T00:45:53Z,8.81
2025-07-31T00:45:54Z,8.81
2025-07-31T00:45:55Z,8.78
2025-07-31T00:45:56Z,8.78
2025-07-31T00:45:57Z,8.78
2025-07-31T00:45:58Z,8.72
2025-07-31T00:45:59Z,8.71
2025-07-31T00:46:00Z,8.67
2025-07-31T00:46:01Z,8.73
2025-07-31T00:46:02Z,8.72
2025-07-31T00:46:03Z,8.72
2025-07-31T00:46:04Z,8.75
2025-07-31T00:46:05Z,8.75
2025-07-31T00:46:06Z,8.74
2025-07-31T00:46:07Z,8.74
2025-07-31T00:46:08Z,8.73
2025-07-31T00:46:09Z,8.76
2025-07-31T00:46:10Z,8.77
2025-07-31T00:46:11Z,8.83
2025-07-31T00:46:12Z,8.82
2025-07-31T00:46:13Z,8.83
2025-07-31T00:46:14Z,8.77
2025-07-31T00:46:15Z,8.72
2025-07-31T00:46:16Z,8.65
2025-07-31T00:46:17Z,8.59
2025-07-31T00:46:18Z,8.59
2025-07-31T00:46:19Z,8.57
2025-07-31T00:46:20Z,8.54
2025-07-31T00:46:22Z,8.38
2025-07-31T00:46:23Z,7.66
2025-07-31T00:46:24Z,6.80
2025-07-31T00:46:25Z,6.08
2025-07-31T00:46:26Z,5.55
2025-07-31T00:46:27Z,5.40
2025-07-31T00:46:28Z,5.35
2025-07-31T00:46:29Z,5.27
2025-07-31T00:46:30Z,5.25
2025-07-31T00:46:32Z,5.25
2025-07-31T00:46:33Z,5.09
2025-07-31T00:46:34Z,5.04
2025-07-31T00:46:35Z,4.96
2025-07-31T00:46:36Z,4.84
2025-07-31T00:46:37Z,4.79
2025-07-31T00:46:38Z,4.79
2025-07-31T00:46:40Z,4.96
2025-07-31T00:46:42Z,5.01
2025-07-31T00:46:43Z,5.01
2025-07-31T00:46:44Z,5.01
2025-07-31T00:46:45Z,5.01
2025-07-31T00:46:46Z,5.02
2025-07-31T00:46:47Z,4.98
2025-07-31T00:46:48Z,4.94
2025-07-31T00:46:49Z,4.98
2025-07-31T00:46:51Z,5.01
2025-07-31T00:46:52Z,5.02
2025-07-31T00:46:53Z,5.02
2025-07-31T00:46:54Z,5.03
2025-07-31T00:46:55Z,5.02
2025-07-31T00:46:56Z,5.00
