timestamp,workout,background,total
2025-06-11T01:26:00Z,0.23,0.0,0.23
2025-06-11T01:27:00Z,0.24,0.0,0.24
2025-06-11T01:28:00Z,1.27,0.0,1.27
2025-06-11T01:29:00Z,0.65,0.0,0.65
2025-06-11T01:30:00Z,0.8,0.0,0.8
2025-06-11T01:31:00Z,0.26,0.0,0.26
2025-06-11T01:32:00Z,0.87,0.0,0.87
2025-06-11T01:33:00Z,0.9,0.0,0.9
2025-06-11T01:34:00Z,0.56,0.0,0.56
2025-06-11T01:35:00Z,0.66,0.0,0.66
2025-06-11T01:36:00Z,0.61,0.0,0.61
2025-06-11T01:37:00Z,0.34,0.0,0.34
2025-06-11T01:38:00Z,0.75,0.0,0.75
2025-06-11T01:39:00Z,1.61,0.0,1.61
2025-06-11T01:40:00Z,1.62,0.0,1.62
2025-06-11T01:41:00Z,0.97,0.0,0.97
2025-06-11T01:42:00Z,1.0,0.0,1.0
2025-06-11T01:43:00Z,0.88,0.0,0.88
2025-06-11T01:44:00Z,0.72,0.0,0.72
2025-06-11T01:45:00Z,0.32,0.0,0.32
2025-06-11T01:46:00Z,1.08,0.0,1.08
2025-06-11T01:47:00Z,1.24,0.0,1.24
2025-06-11T01:48:00Z,1.4,0.0,1.4
2025-06-11T01:49:00Z,1.26,0.0,1.26
2025-06-11T01:50:00Z,1.25,0.0,1.25
2025-06-11T01:51:00Z,0.6899,0.0,0.6899
2025-06-11T01:52:00Z,0.68,0.0,0.68
2025-06-11T01:53:00Z,1.32,0.0,1.32
2025-06-11T01:54:00Z,1.84,0.0,1.84
2025-06-11T01:55:00Z,1.53,0.0,1.53
2025-06-11T01:56:00Z,0.65,0.0,0.65
2025-06-11T01:57:00Z,0.86,0.0,0.86
2025-06-11T01:58:00Z,0.96,0.0,0.96
2025-06-11T01:59:00Z,1.1,0.0,1.1
2025-06-11T02:00:00Z,0.77,0.0,0.77
2025-06-11T02:01:00Z,0.93,0.0,0.93
2025-06-11T02:02:00Z,0.71,0.0,0.71
2025-06-11T02:03:00Z,0.0,0.34,0.34
2025-06-11T02:04:00Z,0.0,0.32,0.32
2025-06-11T02:05:00Z,0.0,0.35,0.35
2025-06-11T02:35:00Z,0.0,0.25,0.25
2025-06-11T02:52:00Z,0.0,0.34,0.34
2025-06-11T03:03:00Z,0.0,0.23,0.23
