timestamp,steps per minute
2025-07-31T00:46:21Z,157
2025-07-31T00:46:22Z,148
2025-07-31T00:46:23Z,141
2025-07-31T00:46:24Z,136
2025-07-31T00:46:25Z,132
2025-07-31T00:46:26Z,129
2025-07-31T00:46:27Z,127
2025-07-31T00:46:28Z,125
2025-07-31T00:46:29Z,124
2025-07-31T00:46:30Z,122
2025-07-31T00:46:31Z,121
2025-07-31T00:46:32Z,121
2025-07-31T00:46:33Z,120
2025-07-31T00:46:34Z,120
2025-07-31T00:46:35Z,120
2025-07-31T00:46:36Z,119
2025-07-31T00:46:37Z,119
2025-07-31T00:46:38Z,119
2025-07-31T00:46:39Z,118
2025-07-31T00:46:40Z,118
2025-07-31T00:46:41Z,118
2025-07-31T00:46:42Z,118
2025-07-31T00:46:43Z,118
2025-07-31T00:46:44Z,118
2025-07-31T00:46:45Z,119
2025-07-31T00:46:46Z,119
2025-07-31T00:46:47Z,119
2025-07-31T00:46:48Z,119
2025-07-31T00:46:49Z,119
2025-07-31T00:46:50Z,119
2025-07-31T00:46:51Z,118
2025-07-31T00:46:52Z,118
2025-07-31T00:46:53Z,118
2025-07-31T00:46:54Z,118
2025-07-31T00:46:55Z,118
2025-07-31T00:46:56Z,118
2025-07-31T00:46:57Z,118
2025-07-31T00:46:58Z,118
2025-07-31T00:46:59Z,118
2025-07-31T00:47:00Z,117
2025-07-31T00:47:01Z,116
2025-07-31T00:47:02Z,116
2025-07-31T00:47:03Z,116
2025-07-31T00:47:04Z,116
2025-07-31T00:47:05Z,116
2025-07-31T00:47:06Z,116
2025-07-31T00:47:07Z,117
2025-07-31T00:47:08Z,117
2025-07-31T00:47:09Z,118
2025-07-31T00:47:10Z,118
2025-07-31T00:47:11Z,119
2025-07-31T00:47:12Z,120
2025-07-31T00:47:13Z,120
2025-07-31T00:47:14Z,120
2025-07-31T00:47:15Z,120
2025-07-31T00:47:16Z,120
2025-07-31T00:47:17Z,119
2025-07-31T00:47:18Z,119
2025-07-31T00:47:19Z,119
2025-07-31T00:47:20Z,119
2025-07-31T00:47:21Z,119
2025-07-31T00:47:22Z,119
2025-07-31T00:47:23Z,119
2025-07-31T00:47:24Z,118
2025-07-31T00:47:25Z,118
2025-07-31T00:47:26Z,119
2025-07-31T00:47:27Z,120
2025-07-31T00:47:28Z,120
2025-07-31T00:47:29Z,121
2025-07-31T00:47:30Z,121
2025-07-31T00:47:31Z,120
2025-07-31T00:47:32Z,117
2025-07-31T00:47:33Z,120
2025-07-31T00:47:34Z,135
2025-07-31T00:47:35Z,155
2025-07-31T00:47:36Z,170
2025-07-31T00:47:37Z,180
2025-07-31T00:47:38Z,186
2025-07-31T00:47:39Z,189
2025-07-31T00:47:40Z,189
2025-07-31T00:47:41Z,190
2025-07-31T00:47:42Z,190
2025-07-31T00:47:43Z,189
2025-07-31T00:47:44Z,189
2025-07-31T00:47:45Z,189
2025-07-31T00:47:46Z,190
2025-07-31T00:47:47Z,191
2025-07-31T00:47:48Z,190
2025-07-31T00:47:49Z,190
2025-07-31T00:47:50Z,190
2025-07-31T00:47:51Z,190
2025-07-31T00:47:52Z,191
2025-07-31T00:47:53Z,192
2025-07-31T00:47:54Z,192
2025-07-31T00:47:55Z,192
2025-07-31T00:47:56Z,193
2025-07-31T00:47:57Z,192
2025-07-31T00:47:58Z,191
2025-07-31T00:47:59Z,190
2025-07-31T00:48:00Z,189
2025-07-31T00:48:01Z,189
2025-07-31T00:48:02Z,189
2025-07-31T00:48:03Z,189
2025-07-31T00:48:04Z,189
2025-07-31T00:48:05Z,189
2025-07-31T00:48:06Z,189
2025-07-31T00:48:07Z,190
2025-07-31T00:48:08Z,191
2025-07-31T00:48:09Z,191
2025-07-31T00:48:10Z,192
2025-07-31T00:48:11Z,192
2025-07-31T00:48:12Z,192
2025-07-31T00:48:13Z,193
2025-07-31T00:48:14Z,193
2025-07-31T00:48:15Z,192
2025-07-31T00:48:16Z,193
2025-07-31T00:48:17Z,194
2025-07-31T00:48:18Z,194
2025-07-31T00:48:19Z,193
2025-07-31T00:48:20Z,193
2025-07-31T00:48:21Z,193
2025-07-31T00:48:22Z,194
2025-07-31T00:48:23Z,193
2025-07-31T00:48:24Z,193
2025-07-31T00:48:25Z,194
2025-07-31T00:48:26Z,194
2025-07-31T00:48:27Z,195
2025-07-31T00:48:28Z,195
2025-07-31T00:48:29Z,195
2025-07-31T00:48:30Z,193
2025-07-31T00:48:31Z,192
2025-07-31T00:48:32Z,192
2025-07-31T00:48:33Z,192
2025-07-31T00:48:34Z,192
2025-07-31T00:48:35Z,192
2025-07-31T00:48:36Z,191
2025-07-31T00:48:37Z,193
2025-07-31T00:48:38Z,194
2025-07-31T00:48:39Z,195
2025-07-31T00:48:40Z,195
2025-07-31T00:48:41Z,194
2025-07-31T00:48:42Z,194
2025-07-31T00:48:43Z,193
2025-07-31T00:48:44Z,194
2025-07-31T00:48:45Z,196
2025-07-31T00:48:46Z,194
2025-07-31T00:48:47Z,192
2025-07-31T00:48:48Z,187
2025-07-31T00:48:49Z,183
2025-07-31T00:48:50Z,175
2025-07-31T00:48:51Z,166
2025-07-31T00:48:52Z,154
2025-07-31T00:48:53Z,143
2025-07-31T00:48:54Z,136
2025-07-31T00:48:55Z,132
2025-07-31T00:48:56Z,128
2025-07-31T00:48:57Z,126
2025-07-31T00:48:58Z,125
2025-07-31T00:48:59Z,124
2025-07-31T00:49:00Z,123
2025-07-31T00:49:01Z,122
2025-07-31T00:49:02Z,121
2025-07-31T00:49:03Z,120
2025-07-31T00:49:04Z,120
2025-07-31T00:49:05Z,120
2025-07-31T00:49:06Z,120
2025-07-31T00:49:07Z,119
2025-07-31T00:49:08Z,119
2025-07-31T00:49:09Z,119
2025-07-31T00:49:10Z,118
2025-07-31T00:49:11Z,116
2025-07-31T00:49:12Z,117
2025-07-31T00:49:13Z,118
2025-07-31T00:49:14Z,118
2025-07-31T00:49:15Z,120
2025-07-31T00:49:16Z,121
2025-07-31T00:49:17Z,119
2025-07-31T00:49:18Z,117
2025-07-31T00:49:19Z,116
2025-07-31T00:49:20Z,116
2025-07-31T00:49:21Z,116
2025-07-31T00:49:22Z,117
2025-07-31T00:49:23Z,117
2025-07-31T00:49:24Z,117
2025-07-31T00:49:25Z,118
2025-07-31T00:49:26Z,118
2025-07-31T00:49:27Z,118
2025-07-31T00:49:28Z,118
2025-07-31T00:49:29Z,118
2025-07-31T00:49:30Z,118
2025-07-31T00:49:31Z,119
2025-07-31T00:49:32Z,119
2025-07-31T00:49:33Z,119
2025-07-31T00:49:34Z,119
2025-07-31T00:49:35Z,119
2025-07-31T00:49:36Z,119
2025-07-31T00:49:37Z,119
2025-07-31T00:49:38Z,118
2025-07-31T00:49:39Z,119
2025-07-31T00:49:40Z,126
2025-07-31T00:49:41Z,145
2025-07-31T00:49:42Z,167
2025-07-31T00:49:43Z,179
2025-07-31T00:49:44Z,185
2025-07-31T00:49:45Z,189
2025-07-31T00:49:46Z,189
2025-07-31T00:49:47Z,191
2025-07-31T00:49:48Z,192
2025-07-31T00:49:49Z,193
2025-07-31T00:49:50Z,192
2025-07-31T00:49:51Z,192
2025-07-31T00:49:52Z,191
2025-07-31T00:49:53Z,190
