timestamp,light,moderate,very
2024-07-16T12:22:00Z,0,0,1
2024-07-16T12:23:00Z,0,0,1
2024-07-16T12:24:00Z,0,0,1
2024-07-16T12:25:00Z,1,0,0
2024-07-17T19:59:00Z,1,0,0
2024-07-18T08:04:00Z,1,0,0
2024-07-19T03:28:00Z,1,0,0
2024-07-19T03:39:00Z,1,0,0
2024-07-19T07:01:00Z,1,0,0
2024-07-19T20:23:00Z,1,0,0
2024-07-20T02:00:00Z,1,0,0
2024-07-20T02:12:00Z,1,0,0
2024-07-20T07:18:00Z,1,0,0
2024-07-22T17:15:00Z,1,0,0
2024-07-23T03:27:00Z,1,0,0
2024-07-24T05:11:00Z,1,0,0
2024-07-25T17:26:00Z,1,0,0
2024-07-28T03:20:00Z,1,0,0
2024-07-28T23:11:00Z,1,0,0
2024-07-30T11:16:00Z,0,0,1
2024-07-30T11:17:00Z,0,1,0
2024-07-30T11:18:00Z,0,0,1
2024-07-30T11:20:00Z,0,0,1
2024-07-30T11:21:00Z,0,0,1
2024-07-30T11:22:00Z,0,0,1
2024-07-30T11:23:00Z,0,0,1
2024-07-30T11:24:00Z,0,0,1
2024-07-30T11:25:00Z,0,0,1
2024-07-30T11:26:00Z,0,0,1
2024-07-30T11:27:00Z,0,0,1
2024-07-30T11:28:00Z,0,0,1
2024-07-30T11:29:00Z,0,0,1
2024-07-30T11:30:00Z,0,0,1
2024-07-30T11:31:00Z,0,0,1
2024-07-30T11:32:00Z,0,0,1
2024-07-30T11:33:00Z,0,0,1
2024-07-30T11:34:00Z,0,0,1
2024-07-30T11:35:00Z,0,0,1
2024-07-30T11:36:00Z,0,0,1
2024-07-30T11:37:00Z,0,0,1
2024-07-30T11:38:00Z,0,0,1
2024-07-30T11:39:00Z,0,0,1
2024-07-30T11:40:00Z,0,0,1
2024-07-30T11:41:00Z,0,0,1
2024-07-30T11:42:00Z,0,0,1
2024-07-30T11:43:00Z,0,0,1
2024-07-30T11:44:00Z,0,0,1
2024-07-30T11:45:00Z,0,0,1
2024-07-30T11:46:00Z,0,0,1
2024-07-30T11:47:00Z,0,0,1
2024-07-30T11:48:00Z,0,0,1
2024-07-30T11:49:00Z,0,0,1
2024-07-30T11:50:00Z,0,0,1
2024-07-30T11:51:00Z,0,0,1
