name,objectives,schedule,status,update_time
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(13, 56)",2025-08-01 00:00:00 - 2025-08-02 00:00:00,ENABLED,2025-07-31 22:59:26+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(130, 174)",2024-10-22 00:00:00 - 2024-10-23 00:00:00,ENABLED,2024-10-22 05:50:56+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(134, 165)",2024-10-16 00:00:00 - 2024-10-17 00:00:00,ENABLED,2024-10-16 13:12:50+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(135, 174)",2024-10-21 00:00:00 - 2024-10-22 00:00:00,ENABLED,2024-10-21 09:56:57+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(14, 39)",2024-10-29 00:00:00 - 2024-10-30 00:00:00,ENABLED,2024-10-29 09:37:14+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(145, 184)",2025-08-07 00:00:00 - 2025-08-08 00:00:00,ENABLED,2025-08-06 22:28:01+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(145, 184)",2025-08-07 00:00:00 - 2025-08-08 00:00:00,ENABLED,2025-08-06 23:02:15+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(148, 174)",2024-10-23 00:00:00 - 2024-10-24 00:00:00,ENABLED,2024-10-23 09:44:02+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(154, 174)",2024-10-18 00:00:00 - 2024-10-19 00:00:00,ENABLED,2024-10-18 05:32:09+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(156, 244)",2025-07-26 00:00:00 - 2025-07-27 00:00:00,ENABLED,2025-07-25 23:49:11+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(156, 244)",2025-07-26 00:00:00 - 2025-07-27 00:00:00,ENABLED,2025-07-26 00:10:34+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(16, 39)",2024-10-27 00:00:00 - 2024-10-28 00:00:00,ENABLED,2024-10-27 06:17:34+0000
